id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
id3918648,12:00:23 AM,12:14:19 AM,2,"-73,982,139,587,402,300","4,076,275,634,765,620","-73,951,339,721,679,600","40,770,740,509,033,200",836
id0194779,12:00:30 AM,12:06:04 AM,1,"-73,977,890,014,648,400","40,757,709,503,173,800","-73,996,078,491,210,900","40,732,643,127,441,400",334
id0177485,12:00:32 AM,12:12:26 AM,3,"-73,989,761,352,539,000","40,729,518,890,380,800","-73,954,086,303,710,900","40,778,900,146,484,300",714
id1010503,12:00:36 AM,12:08:44 AM,1,"-73,985,137,939,453,100","40,773,845,672,607,400","-73,959,892,272,949,200","40,798,759,460,449,200",488
id2043020,12:00:38 AM,12:17:41 AM,1,"-73,981,887,817,382,800","40,771,270,751,953,100","-73,938,949,584,960,900","40,835,395,812,988,200",1023
id1152685,12:00:43 AM,12:09:26 AM,2,"-73,987,579,345,703,100","40,738,670,349,121,000","-7,397,088,623,046,870","40,748,775,482,177,700",523
id2563739,12:00:45 AM,12:12:15 AM,1,"-73,980,567,932,128,900","40,779,895,782,470,700","-73,949,699,401,855,400","40,813,888,549,804,600",690
id1200936,12:01:13 AM,12:10:56 AM,1,"-73,863,784,790,039,000","40,769,947,052,001,900","-73,886,077,880,859,300","4,075,421,142,578,120",583
id0035810,12:01:13 AM,12:09:42 AM,1,"-73,989,273,071,289,000","40,738,300,323,486,300","-73,965,377,807,617,100","4,075,482,177,734,370",509
id2313443,12:01:14 AM,12:15:01 AM,1,"-73,992,210,388,183,500","40,737,869,262,695,300","-73,997,406,005,859,300","40,688,308,715,820,300",827
id1136817,12:01:19 AM,12:06:46 AM,1,"-739,927,978,515,625","40,742,862,701,416,000","-7,397,991,943,359,370","40,732,532,501,220,700",327
id2377150,12:01:21 AM,12:29:00 AM,2,"-73,866,386,413,574,200","40,771,450,042,724,600","-73,985,313,415,527,300","40,778,438,568,115,200",1659
id2688867,12:02:21 AM,12:25:37 AM,1,"-7,398,760,986,328,120","40,756,710,052,490,200","-73,946,083,068,847,600","40,803,890,228,271,400",1396
id3661076,12:02:59 AM,12:19:12 AM,1,"-73,984,756,469,726,500","40,735,931,396,484,300","-7,394,012,451,171,870","40,824,573,516,845,700",973
id3461487,12:03:19 AM,12:09:02 AM,1,"-73,954,734,802,246,000","40,769,798,278,808,500","-7,396,612,548,828,120","40,764,930,725,097,600",343
id1967913,12:03:36 AM,12:14:31 AM,6,"-73,950,660,705,566,400","40,723,819,732,666,000","-73,892,776,489,257,800","40,745,010,375,976,500",655
id1271261,12:03:45 AM,12:17:12 AM,1,"-73,986,648,559,570,300","40,741,489,410,400,300","-73,977,592,468,261,700","40,779,170,989,990,200",807
id2090918,12:03:45 AM,12:08:53 AM,1,"-73,959,770,202,636,700","40,711,101,531,982,400","-739,859,619,140,625","40,722,751,617,431,600",308
id2528590,12:04:02 AM,12:10:50 AM,1,"-73,951,591,491,699,200","40,773,590,087,890,600","-73,941,871,643,066,400","40,795,394,897,460,900",408
id0219671,12:04:05 AM,12:20:58 AM,1,"-74,006,248,474,121,000","40,714,096,069,335,900","-7,403,179,931,640,620","40,620,861,053,466,700",1013
id1155871,12:04:21 AM,12:30:08 AM,1,"-73,872,848,510,742,100","40,774,185,180,664,000","-74,015,556,335,449,200","40,709,369,659,423,800",1547
id0327791,12:04:29 AM,12:20:16 AM,2,"-73,994,377,136,230,400","40,725,929,260,253,900","-73,948,966,979,980,400","40,775,859,832,763,600",947
id2347025,12:05:00 AM,12:23:42 AM,1,"-73,992,156,982,421,800","40,769,252,777,099,600","-73,961,944,580,078,100","40,709,903,717,041,000",1122
id1983149,12:05:18 AM,12:28:57 AM,1,"-73,984,939,575,195,300","40,732,425,689,697,200","-73,982,330,322,265,600","40,672,321,319,580,000",1419
id0804199,12:05:41 AM,12:20:07 AM,1,"-7,387,298,583,984,370","40,774,211,883,544,900","-73,859,733,581,542,900","40,732,978,820,800,700",866
id3143142,12:05:47 AM,12:17:10 AM,1,"-73,979,377,746,582,000","40,747,051,239,013,600","-73,983,436,584,472,600","40,775,516,510,009,700",683
id1238971,12:06:01 AM,12:14:14 AM,1,"-7,398,211,669,921,870","40,768,760,681,152,300","-73,962,318,420,410,100","40,759,258,270,263,600",493
id2713527,12:06:18 AM,12:14:17 AM,2,"-73,989,448,547,363,200","40,768,032,073,974,600","-7,399,072,265,625","40,750,770,568,847,600",479
id3790293,12:06:49 AM,12:26:03 AM,1,"-73,975,173,950,195,300","40,752,780,914,306,600","-73,999,862,670,898,400","40,687,992,095,947,200",1154
id0101993,12:06:50 AM,12:09:12 AM,3,"-73,935,432,434,082,000","40,795,982,360,839,800","-73,923,744,201,660,100","40,807,826,995,849,600",142
id1438265,12:07:02 AM,12:15:46 AM,4,"-74,002,166,748,046,800","40,734,256,744,384,700","-73,983,329,772,949,200","40,744,388,580,322,200",524
id3267463,12:07:10 AM,12:09:36 AM,1,"-73,962,333,679,199,200","40,759,220,123,291,000","-73,952,972,412,109,300","40,772,045,135,498,000",146
id2505889,12:07:23 AM,12:34:17 AM,1,"-74,009,979,248,046,800","40,737,281,799,316,400","-73,933,250,427,246,000","40,794,898,986,816,400",1614
id1510165,12:07:40 AM,12:19:33 AM,4,"-73,987,083,435,058,500","40,741,401,672,363,200","-73,987,281,799,316,400","40,741,451,263,427,700",713
id3903588,12:07:52 AM,12:27:07 AM,1,"-73,874,534,606,933,500","40,774,116,516,113,200","-739,779,052,734,375","40,733,932,495,117,100",1155
id2607863,12:08:25 AM,12:15:31 AM,1,"-73,997,215,270,996,000","40,761,932,373,046,800","-73,991,142,272,949,200","40,751,487,731,933,500",426
id1503530,12:08:39 AM,12:18:52 AM,1,"-73,974,998,474,121,000","40,756,237,030,029,200","-73,952,041,625,976,500","40,777,431,488,037,100",613
id0653634,12:08:52 AM,12:20:57 AM,1,"-73,984,771,728,515,600","40,774,185,180,664,000","-73,945,770,263,671,800","4,082,171,630,859,370",725
id3928448,12:09:08 AM,12:27:06 AM,4,"-73,862,876,892,089,800","40,769,153,594,970,700","-73,949,394,226,074,200","40,772,506,713,867,100",1078
id3388160,12:09:13 AM,12:12:16 AM,1,"-73,949,508,666,992,100","40,822,582,244,873,000","-73,950,798,034,667,900","40,828,269,958,496,000",183
id2769235,12:09:42 AM,12:19:07 AM,1,"-73,968,788,146,972,600","40,764,297,485,351,500","-73,950,492,858,886,700","40,787,300,109,863,200",565
id2453500,12:10:04 AM,12:19:04 AM,1,"-73,977,272,033,691,400","40,753,528,594,970,700","-73,966,102,600,097,600","40,761,940,002,441,400",540
id0042715,12:10:06 AM,12:27:40 AM,1,"-73,862,724,304,199,200","40,769,031,524,658,200","-739,564,208,984,375","40,728,092,193,603,500",1054
id2754243,12:10:33 AM,12:23:58 AM,1,"-73,987,098,693,847,600","40,764,366,149,902,300","-73,989,181,518,554,600","40,726,470,947,265,600",805
id0924443,12:10:33 AM,12:46:27 AM,1,"-74,005,317,687,988,200","40,718,296,051,025,300","-74,095,504,760,742,100","40,643,203,735,351,500",2154
id0177896,12:10:36 AM,12:24:23 AM,1,"-73,979,690,551,757,800","40,781,200,408,935,500","-73,990,608,215,332,000","40,724,590,301,513,600",827
id3689313,12:10:39 AM,12:27:36 AM,1,"-74,004,783,630,371,000","40,737,518,310,546,800","-7,395,355,224,609,370","40,779,510,498,046,800",1017
id3861341,12:10:46 AM,12:25:36 AM,2,"-73,989,227,294,921,800","40,768,413,543,701,100","-73,985,809,326,171,800","4,072,747,802,734,370",890
id1034078,12:10:57 AM,12:32:14 AM,2,"-73,994,537,353,515,600","40,760,890,960,693,300","-73,981,742,858,886,700","40,690,208,435,058,500",1277
id2272968,12:10:59 AM,12:33:46 AM,1,"-73,996,376,037,597,600","40,726,028,442,382,800","-7,392,962,646,484,370","40,705,852,508,544,900",1367
id3269570,12:11:09 AM,12:24:44 AM,1,"-73,862,739,562,988,200","40,769,035,339,355,400","-73,946,189,880,371,000","40,777,603,149,414,000",815
id2354009,12:11:16 AM,12:45:52 AM,1,"-73,788,230,895,996,000","40,641,456,604,003,900","-73,986,648,559,570,300","4,076,141,357,421,870",2076
id3314705,12:12:05 AM,12:16:45 AM,2,"-739,769,287,109,375","40,763,908,386,230,400","-7,399,163,818,359,370","40,756,729,125,976,500",280
id0571415,12:12:25 AM,12:14:10 AM,1,"-73,984,695,434,570,300","40,736,907,958,984,300","-73,979,293,823,242,100","40,736,984,252,929,600",105
